Id,Task,Item,Score,Answer
101-APACSadd,figurative 2,1,2,не придал значение
101-APACSadd,figurative 2,2,2,нет денег
101-APACSadd,figurative 2,3,2,рассеянный
101-APACSadd,figurative 2,4,2,счастлив
101-APACSadd,figurative 2,5,2,пожалеет
101-APACSadd,figurative 2,6,2,очень тяжелые
101-APACSadd,figurative 2,7,2,"причиняют боль, болезненные"
101-APACSadd,figurative 2,8,0,не слышала
101-APACSadd,figurative 2,9,2,очень красивые
101-APACSadd,figurative 2,10,1,не расчешешь
101-APACSadd,figurative 2,11,2,вас везде могут подслушать
101-APACSadd,figurative 2,12,2,обслуживает всех кроме себя
101-APACSadd,figurative 2,13,2,общее мнение важнее мнения личности
101-APACSadd,figurative 2,14,2,за одним несчастьем последует второе
101-APACSadd,figurative 2,15,2,в чем-то хорошем всегда найдется что-то плохое
102-APACSadd,figurative 2,1,1,"не стал принимать меры; не стал действовать, наказывать нарушителя"
102-APACSadd,figurative 2,2,2,нет денег постоянно
102-APACSadd,figurative 2,3,2,"не заинтересован в учебе, находится в своем фантазийном мире, не умеет сконцентрироваться"
102-APACSadd,figurative 2,4,2,вася счастлив
102-APACSadd,figurative 2,5,2,марину ждет разочарование
102-APACSadd,figurative 2,6,2,очень тяжелые
102-APACSadd,figurative 2,7,2,"неприятные воспоминания, которые трудно забыть"
102-APACSadd,figurative 2,8,2,"громкие, звонкие, низкие"
102-APACSadd,figurative 2,9,2,"неестественно красивые, без изъянов"
102-APACSadd,figurative 2,10,2,неопрятные
102-APACSadd,figurative 2,11,2,не надо болтать лишнего;  кто-то может услышать
102-APACSadd,figurative 2,12,2,"человек, который занимается конкретным делом, не может применить это дело к себе"
102-APACSadd,figurative 2,13,2,"большинство решает; демократия; некрасиво заставлять ждать; неэффективно, когда семь человек ждут одного, малое должно подстраиваться под большее, большее управляет малым"
102-APACSadd,figurative 2,14,2,"говорят, когда подряд произошло несколько негативных событий, однако это все чистая случайность"
102-APACSadd,figurative 2,15,2,"непременный негативный атрибут, присутствующий при каком-либо значимом положительном"
103-APACSadd,figurative 2,1,2,"не стал обращать внимание на то, как она себя ведет"
103-APACSadd,figurative 2,2,2,у него нет денег
103-APACSadd,figurative 2,3,2,отвлекается все время
103-APACSadd,figurative 2,4,2,очень счастлив
103-APACSadd,figurative 2,5,2,будет недовольна
103-APACSadd,figurative 2,6,2,тяжелые сумки
103-APACSadd,figurative 2,7,2,их сложно забыть
103-APACSadd,figurative 2,8,2,очень громкие голоса
103-APACSadd,figurative 2,9,2,очень красивые манекенщицы
103-APACSadd,figurative 2,10,2,очень густые прически
103-APACSadd,figurative 2,11,2,надо аккуратно разговаривать
103-APACSadd,figurative 2,12,0,"человек, который нарушает ожидание; любой человек ожидает чего-то одного, а он этого не делает или не умеет; есть какое-то разочарование"
103-APACSadd,figurative 2,13,2,мнение большинства важнее мнения одного
103-APACSadd,figurative 2,14,2,"если что-то плохо, то что-то тоже будет плохо"
103-APACSadd,figurative 2,15,2,"плохая мелочь, которая портит всю картину"
104-APACSadd,figurative 2,1,2,не обратил внимание на ее поведение
104-APACSadd,figurative 2,2,2,у моего брата нету денег
104-APACSadd,figurative 2,3,2,этот ученик отвлекается
104-APACSadd,figurative 2,4,2,очень рад
104-APACSadd,figurative 2,5,2,потом будет жалеть
104-APACSadd,figurative 2,6,2,очень тяжелые
104-APACSadd,figurative 2,7,2,"невозможно забыть, очень болезненные"
104-APACSadd,figurative 2,8,2,очень громкие
104-APACSadd,figurative 2,9,2,красивые
104-APACSadd,figurative 2,10,2,неопрятные
104-APACSadd,figurative 2,11,2,кто-то подслушивает
104-APACSadd,figurative 2,12,2,"чужим что-то делает, а у самого нету"
104-APACSadd,figurative 2,13,2,"большинство не ждет меньшинство, одного"
104-APACSadd,figurative 2,14,2,бывает череда неприятностей
104-APACSadd,figurative 2,15,1,"добавил что-то, что обесценил, все испортил
"
105-APACSadd,figurative 2,1,1,"не обратил внимание, что у нее нет билета"
105-APACSadd,figurative 2,2,2,всегда нет денег
105-APACSadd,figurative 2,3,1,невнимательно слушает урок
105-APACSadd,figurative 2,4,2,"счастлив от того, что его повысили на работе"
105-APACSadd,figurative 2,5,2,марина будет очень жалеть
105-APACSadd,figurative 2,6,2,очень тяжелые
105-APACSadd,figurative 2,7,2,очень неприятны
105-APACSadd,figurative 2,8,2,"громкие, зычные голоса"
105-APACSadd,figurative 2,9,2,очень красивые манекенщицы
105-APACSadd,figurative 2,10,2,"очень растрепанные, густые"
105-APACSadd,figurative 2,11,2,"вас могут подслушать даже в закрытом, пустом помещении"
105-APACSadd,figurative 2,12,2,профессионал часто оказывается не в состоянии помочь самому себе
105-APACSadd,figurative 2,13,2,всегда нужно приходить вовремя
105-APACSadd,figurative 2,14,2,очень часто неприятности следуют одна за другой
105-APACSadd,figurative 2,15,2,"не бывает, чтобы все было абсолютно точно хорошо"
106-APACSadd,figurative 2,1,2,перестал обращать внимание
